道	3
、	4
関	5
与	5
団	6
体	6
さ	7
ら	7
に	7
見	8
直	8
し	8
来	12
年	13
度	13
に	14
新	15
計	16
画	16
[	17
J	17
S	17
P	17
]	17
統	18
廃	18
合	18
で	19
補	20
助	20
金	21
削	22
減	22
[	26
J	26
S	26
P	26
]	26
道	27
は	28
九	29
日	30
、	31
補	32
助	32
金	33
を	34
出	35
し	35
て	36
い	37
る	37
関	38
与	38
団	39
体	39
の	40
あ	41
り	41
方	42
に	43
つ	44
い	44
て	45
、	46
統	47
廃	47
合	47
な	48
ど	48
新	49
た	49
な	50
見	51
直	51
し	51
計	52
画	52
を	53
設	54
け	54
る	54
方	55
針	55
を	56
表	57
明	57
し	58
た	59
。	60
道	64
職	65
員	65
Ｏ	66
Ｂ	66
の	67
天	68
下	68
り	68
先	69
で	70
、	71
第	72
二	73
道	74
庁	74
と	75
も	76
呼	77
ば	77
れ	78
る	78
関	79
与	79
団	80
体	80
へ	81
の	82
税	83
金	83
投	84
入	84
に	85
大	86
ナ	86
タ	86
を	87
振	88
る	88
い	88
、	89
危	90
機	90
に	91
直	92
面	92
す	93
る	93
道	94
財	95
政	95
の	96
負	97
担	97
を	98
軽	99
く	99
す	100
る	100
。	101
道	105
議	106
会	106
予	107
算	107
特	108
別	108
委	109
員	109
会	110
で	111
高	112
尾	112
和	113
彦	113
総	114
務	114
部	115
長	116
が	117
自	118
民	118
党	119
の	120
喜	121
多	121
龍	122
一	122
氏	123
（	124
十	125
勝	125
管	126
内	126
）	127
の	128
質	129
問	129
に	130
答	131
え	131
た	132
。	133
[	137
J	137
S	137
P	137
]	137
一	138
九	139
九	140
九	141
年	142
に	143
策	144
定	144
し	145
た	146
現	147
行	147
の	148
「	149
見	150
直	150
し	150
方	151
針	151
」	152
を	153
抜	154
本	154
的	155
に	156
改	157
め	157
、	158
二	159
〇	160
〇	161
二	162
年	163
度	163
中	164
に	165
新	166
計	167
画	167
を	168
策	169
定	169
。	170
〇	174
三	175
―	176
〇	177
五	178
年	179
度	179
の	180
三	181
年	182
間	182
で	183
計	184
画	184
を	185
完	186
了	186
す	187
る	187
。	188
[	192
J	192
S	192
P	192
]	192
国	193
は	194
七	195
月	196
に	197
公	198
益	198
法	199
人	199
改	200
革	200
の	201
具	202
体	202
化	203
方	204
針	204
案	205
を	206
ま	207
と	207
め	207
、	208
１	209
役	210
員	210
報	211
酬	211
へ	212
の	213
助	214
成	214
２	215
年	216
間	216
収	217
入	217
の	218
三	219
分	220
の	221
二	222
以	223
上	223
を	224
補	225
助	225
金	226
に	227
依	228
存	228
す	229
る	229
組	230
織	230
―	231
に	232
つ	233
い	233
て	234
は	235
補	236
助	236
金	237
交	238
付	238
を	239
見	240
直	240
す	240
考	241
え	241
を	242
打	243
ち	243
出	243
し	243
て	244
い	245
る	245
。	246
道	250
の	251
新	252
計	253
画	253
も	254
国	255
に	256
準	257
じ	257
る	257
見	258
込	258
み	258
と	259
さ	260
れ	261
て	262
い	263
る	263
。	264
さ	268
ら	268
に	268
、	269
職	270
員	270
数	271
が	272
十	273
人	274
以	275
下	275
の	276
小	277
規	278
模	278
団	279
体	279
は	280
事	281
務	281
部	282
門	282
を	283
統	284
合	284
し	285
、	286
人	287
件	287
費	288
や	289
管	290
理	290
費	291
の	292
削	293
減	293
な	294
ど	294
を	295
検	296
討	296
す	297
る	297
。	298
深	302
地	303
層	303
研	304
の	305
核	306
抜	306
き	306
協	307
定	307
確	311
認	311
機	312
関	312
を	313
設	314
置	314
へ	315
道	319
、	320
幌	321
延	321
町	322
な	323
ど	323
[	327
J	327
S	327
P	327
]	327
核	328
燃	329
料	329
サ	330
イ	330
ク	330
ル	330
開	331
発	331
機	332
構	332
が	333
留	334
萌	334
管	335
内	335
幌	336
延	336
町	337
で	338
進	339
め	339
て	340
い	341
る	341
深	342
地	343
層	343
研	344
究	344
所	345
計	346
画	346
で	347
、	348
道	349
の	350
吉	351
沢	351
慶	352
信	352
経	353
済	353
部	354
長	355
は	356
九	357
日	358
の	359
道	360
議	361
会	361
予	362
算	362
特	363
別	363
委	364
で	365
、	366
道	367
と	368
同	369
町	369
、	370
核	371
燃	371
機	372
構	372
の	373
三	374
者	375
が	376
放	377
射	377
性	378
廃	379
棄	379
物	380
を	381
持	382
ち	382
込	382
ま	382
せ	383
な	384
い	384
た	385
め	385
に	386
結	387
ん	387
だ	388
協	389
定	389
に	390
つ	391
い	391
て	392
、	393
履	394
行	394
状	395
況	395
を	396
確	397
認	397
す	398
る	398
機	399
関	399
の	400
設	401
置	401
方	402
針	402
を	403
示	404
し	404
た	405
。	406
[	410
J	410
S	410
P	410
]	410
民	411
主	411
党	412
・	413
道	414
民	414
連	415
合	415
の	416
三	417
津	417
丈	418
夫	418
氏	419
（	420
帯	421
広	421
市	422
）	423
に	424
答	425
え	425
た	426
。	427
[	431
J	431
S	431
P	431
]	431
確	432
認	432
機	433
関	433
が	434
チ	435
ェ	435
ッ	435
ク	435
す	436
る	436
の	437
は	438
、	439
放	440
射	440
性	441
廃	442
棄	442
物	443
を	444
持	445
ち	445
込	445
ま	445
せ	446
な	447
い	447
こ	448
と	448
の	449
ほ	450
か	450
１	451
核	452
燃	452
機	453
構	453
は	454
積	455
極	455
的	456
に	457
情	458
報	458
公	459
開	459
に	460
努	461
め	461
る	461
２	462
三	463
者	464
は	465
風	466
評	466
被	467
害	467
の	468
未	469
然	469
防	470
止	470
措	471
置	471
に	472
つ	473
い	473
て	474
協	475
議	475
す	476
る	476
―	477
な	478
ど	478
協	479
定	479
十	480
六	481
項	482
目	482
の	483
履	484
行	484
状	485
況	485
。	486
道	490
は	491
、	492
同	493
計	494
画	494
の	495
研	496
究	496
実	497
施	497
区	498
域	498
が	499
決	500
ま	500
る	500
来	501
年	502
度	502
を	503
め	504
ど	504
に	505
確	506
認	506
機	507
関	507
を	508
設	509
置	509
す	510
る	510
方	511
針	511
で	512
現	513
在	513
、	514
幌	515
延	515
町	516
と	517
協	518
議	518
し	519
て	520
い	521
る	521
。	522
道	526
体	527
協	527
会	528
長	528
と	529
し	530
て	531
知	532
事	532
、	533
国	534
体	534
初	535
参	536
加	536
へ	537
[	541
J	541
S	541
P	541
]	541
宮	542
城	542
県	543
で	544
十	545
三	546
日	547
か	548
ら	548
始	549
ま	549
る	549
秋	550
の	551
国	552
体	552
に	553
、	554
堀	555
達	556
也	556
知	557
事	557
が	558
道	559
体	560
育	560
協	561
会	561
会	562
長	562
と	563
し	564
て	565
初	566
参	567
加	567
す	568
る	568
こ	569
と	569
が	570
、	571
九	572
日	573
ま	574
で	574
に	575
固	576
ま	576
っ	576
た	577
。	578
[	582
J	582
S	582
P	582
]	582
道	583
体	584
協	584
に	585
よ	586
る	586
と	587
堀	588
知	589
事	589
は	590
十	591
三	592
日	593
、	594
同	595
県	595
利	596
府	596
町	597
で	598
行	599
わ	599
れ	600
る	600
開	601
会	601
式	602
に	603
道	604
選	605
手	605
団	606
長	607
と	608
し	609
て	610
入	611
場	611
。	612
続	616
い	616
て	617
、	618
仙	619
台	619
市	620
内	621
で	622
各	623
都	624
道	625
府	626
県	627
選	628
手	628
団	629
の	630
役	631
員	631
懇	632
談	632
会	633
に	634
出	635
席	635
し	636
、	637
