キ	3
ー	3
ナ	4
ン	4
バ	4
ー	4
[	5
J	5
S	5
P	5
]	5
２	6
１	7
２	8
６	12
６	13
０	14
キ	15
ロ	15
リ	15
ッ	15
ト	15
ル	15
[	19
J	19
S	19
P	19
]	19
２	20
０	21
０	22
１	23
年	24
度	24
に	25
道	26
内	26
で	27
消	28
費	28
さ	29
れ	30
た	31
ブ	32
ラ	32
ン	32
デ	32
ー	32
の	33
量	34
。	35
札	39
幌	39
国	40
税	40
局	41
に	42
よ	43
る	43
と	44
、	45
不	46
況	46
に	47
よ	48
る	48
接	49
待	49
需	50
要	50
の	51
減	52
少	52
な	53
ど	53
か	54
ら	54
前	55
年	56
度	56
比	57
１	58
１	59
．	60
８	61
％	62
も	63
減	64
っ	64
た	65
。	66
バ	70
ブ	70
ル	70
期	71
を	72
境	73
に	74
、	75
高	76
級	76
酒	77
が	78
軒	79
並	79
み	79
消	80
費	80
が	81
落	82
ち	82
る	82
中	83
、	84
健	85
闘	85
し	86
て	87
い	88
る	88
の	89
が	90
、	91
発	92
泡	92
酒	93
や	94
カ	95
ク	95
テ	95
ル	95
な	96
ど	96
の	97
リ	98
キ	98
ュ	98
ー	98
ル	98
類	99
。	100
発	104
泡	104
酒	105
は	106
同	107
２	108
０	109
．	110
８	111
％	112
増	113
の	114
９	115
６	116
１	117
３	118
６	119
キ	120
ロ	120
リ	120
ッ	120
ト	120
ル	120
、	121
リ	122
キ	122
ュ	122
ー	122
ル	122
は	123
１	124
２	125
．	126
０	127
％	128
増	129
の	130
１	131
２	132
４	133
０	134
９	135
キ	136
ロ	136
リ	136
ッ	136
ト	136
ル	136
に	137
上	138
っ	138
た	139
。	140
低	144
価	145
格	145
志	146
向	146
と	147
と	148
も	148
に	149
酒	150
の	151
好	152
み	152
の	153
変	154
化	154
も	155
う	156
か	156
が	156
え	156
る	156
。	157
大	161
人	161
の	162
道	163
外	164
さ	164
な	165
い	165
で	166
専	170
門	170
学	171
校	171
で	172
出	173
前	173
授	174
業	174
[	175
J	175
S	175
P	175
]	175
中	176
央	176
区	177
の	178
職	179
員	179
[	183
J	183
S	183
P	183
]	183
学	184
生	184
気	185
分	185
だ	186
け	186
で	187
は	188
大	189
人	189
は	190
務	191
ま	191
り	191
ま	192
せ	192
ん	193
。	194
札	198
幌	198
市	199
中	200
央	200
区	201
南	202
二	203
西	204
二	205
〇	206
の	207
北	208
海	208
道	208
理	209
容	209
美	210
容	210
