Ａ	
Ｌ	
Ｂ	
Ｕ	
Ｍ	
　	
私	
の	
先	
生	
キ	
ャ	
ス	
タ	
ー	
　	
蓮	
舫	
さ	
ん	
「	
お	
し	
ゃ	
べ	
り	
」	
才	
能	
後	
押	
し	
東	
京	
都	
生	
ま	
れ	
。	
９	TIMEX3 definite="FALSE" valueFromSurface="XX95" type="DATE" value="1995" tid="t1"
５	
―	
９	TIMEX3 definite="FALSE" valueFromSurface="XX97" type="DATE" value="1997" tid="t2"
７	
年	
、	
中	
国	
・	
北	
京	
大	
に	
留	EVENT class="OCCURRENCE" eid="e1"
学	
し	
、	
帰	
国	
後	
に	
双	
子	
を	
出	
産	
。	
子	
育	
て	
の	
か	
た	
わ	
ら	
テ	
レ	
ビ	
、	
ラ	
ジ	
オ	
な	
ど	
で	
活	
躍	
中	
。	
３	TIMEX3 definite="FALSE" valueFromSurface="P33Y" type="DURATION" value="P33Y" tid="t3"
３	
歳	
。	
　	
幼	
稚	
園	
か	
ら	
大	
学	
ま	
で	
通	EVENT class="OCCURRENCE" eid="e2"
っ	
た	
青	
山	
学	
院	
で	
は	
、	
と	
に	
か	
く	
活	EVENT class="NULL" eid="e3"
発	
で	
、	
目	EVENT class="NULL" eid="e4"
立	
つ	
生	
徒	
だ	
っ	
た	
と	
い	EVENT class="NULL" eid="e5"
う	
。	
高	
等	
部	
で	
は	
自	EVENT class="NULL" eid="e6"
由	
な	
校	
風	
も	
あ	EVENT class="NULL" eid="e7"
っ	
て	
、	
流	
行	
に	
乗	EVENT class="I_ACTION" eid="e8"
っ	
て	
か	
ば	
ん	
を	
薄	EVENT class="NULL" eid="e9"
く	
つ	EVENT class="OCCURRENCE" eid="e10"
ぶ	
し	
た	
り	
、	
ピ	
ア	
ス	
を	
し	EVENT class="OCCURRENCE" eid="e11"
た	
り	
。	
呼	EVENT class="OCCURRENCE" eid="e12"
び	
出	
し	
て	
注	EVENT class="OCCURRENCE" eid="e13"
意	
す	
る	
先	
生	
も	
い	EVENT class="STATE" eid="e14"
た	
が	
、	
二	TIMEX3 definite="FALSE" valueFromSurface="P2Y" type="DURATION" value="P2Y" tid="t4"
、	
三	TIMEX3 definite="FALSE" valueFromSurface="P3Y" type="DURATION" value="P3Y" tid="t16"
年	
時	
に	
担	
任	
だ	
っ	
た	
池	
田	
弘	
子	
先	
生	
（	
７	TIMEX3 definite="FALSE" valueFromSurface="P75Y" type="DURATION" value="P75Y" tid="t5"
５	
）	
は	
違	EVENT class="STATE" eid="e15"
っ	
た	
。	
「	
そ	
ん	
な	
薄	EVENT class="NULL" eid="e16"
い	
か	
ば	
ん	
じ	
ゃ	
遊	
び	
道	
具	
も	
入	EVENT class="NULL" eid="e17"
ら	
な	
い	
よ	
」	
「	
体	
育	
や	
部	
活	
で	
は	
、	
危	EVENT class="NULL" eid="e18"
な	
い	
か	
ら	
ピ	
ア	
ス	
を	
は	EVENT class="OCCURRENCE" eid="e19"
ず	
し	
た	
ほ	
う	
が	
い	EVENT class="NULL" eid="e20"
い	
」	
。	
や	
ん	
わ	
り	
語	EVENT class="OCCURRENCE" eid="e21"
り	
か	
け	
る	
。	
「	
頭	
ご	
な	
し	
で	
な	
く	
、	
子	
ど	
も	
の	
目	
線	
に	
立	EVENT class="OCCURRENCE" eid="e22"
っ	
て	
、	
聞	EVENT class="NULL" eid="e23"
く	
耳	
を	
持	EVENT class="OCCURRENCE" eid="e24"
た	
せ	
て	
く	
れ	
る	
ん	
で	
す	
よ	
ね	
」	
　	
保	
健	
の	
担	
当	
で	
ス	
ク	
ー	
ル	
カ	
ウ	
ン	
セ	
ラ	
ー	
で	
も	
あ	
っ	
た	
先	
生	
の	
授	
業	
は	
、	
型	EVENT class="NULL" eid="e25"
破	
り	
だ	
っ	
た	
。	
障	
害	
や	
難	
病	
に	
苦	EVENT class="NULL" eid="e26"
し	
む	
人	
の	
話	
を	
よ	
く	
取	EVENT class="I_ACTION" eid="e27"
り	
上	
げ	
、	
生	
徒	
同	
士	
で	
討	EVENT class="I_ACTION" eid="e28"
論	
さ	
せ	
た	
。	
「	
世	
の	
中	
に	
は	
様	EVENT class="NULL" eid="e29"
々	
な	
人	
が	
い	EVENT class="NULL" eid="e30"
る	
と	
い	
う	
こ	
と	
が	
、	
よ	
く	
わ	EVENT class="I_STATE" eid="e31"
か	
っ	
た	
。	
ホ	
ス	
ピ	
ス	
と	
い	
う	
言	
葉	
を	
初	
め	
て	
聞	EVENT class="OCCURRENCE" eid="e32"
い	
た	
の	
も	
こ	
の	
授	
業	
で	
し	
た	
」	
　	
台	
湾	
人	
の	
父	
を	
持	EVENT class="NULL" eid="e33"
ち	
、	
「	
家	
で	
自	EVENT class="OCCURRENCE" eid="e34"
己	
主	
張	
す	
る	
よ	
う	
教	EVENT class="I_ACTION" eid="e35"
え	
ら	
れ	
て	
い	
た	
」	
蓮	
舫	
さ	
ん	
は	
、	
い	
つ	
も	
率	EVENT class="OCCURRENCE" eid="e36"
先	
し	
て	
自	
分	
の	
意	
見	
を	
言	EVENT class="OCCURRENCE" eid="e37"
っ	
た	
。	
「	
ど	
こ	
か	
み	
ん	
な	
と	
は	
違	EVENT class="STATE" eid="e38"
っ	
て	
い	
た	
の	
か	
も	
し	
れ	
な	
い	
」	
。	
ほ	
か	
の	
先	
生	
た	
ち	
に	
は	
、	
「	
お	
し	
ゃ	
べ	
り	
」	
の	
レ	
ッ	
テ	
ル	
を	
